Customer_id,Age,Credit_limit,Credit_utilization,Actual_Default,Num_late_payments,Max_delay,Average_delay,Total_payment,Total_bill,Payment_to_Bill_Ratio,Probability_of_Default,Risk_Score,Risk_Level
26721,26,50000,1.0,0,0,0.0,0.0,7725,186681,0.04,0.38,38,Medium
25616,28,120000,1.0,0,0,0.0,0.0,21283,506952,0.04,0.36,36,Medium
8313,30,240000,1.0,0,0,0.0,0.0,56526,1169143,0.05,0.3,30,Low
12180,32,320000,0.14,0,0,0.0,-0.7,46636,44064,1.06,0.31,31,Low
1560,38,240000,1.0,1,1,2.0,0.3,26354,674599,0.04,0.63,63,Medium
6134,27,240000,0.15,0,0,-2.0,-2.0,32809,35137,0.93,0.19,19,Low
24413,38,30000,1.0,1,3,2.0,0.8,6884,151034,0.05,0.8,80,High
24096,28,260000,1.0,0,0,0.0,0.0,52650,1352800,0.04,0.31,31,Low
29296,26,120000,1.0,0,4,2.0,1.3,29736,665632,0.04,0.79,79,High
5520,47,80000,0.12,0,0,0.0,-1.0,2970,9967,0.3,0.44,44,Medium
6850,55,70000,1.0,0,0,0.0,0.0,11105,322835,0.03,0.45,45,Medium
12314,51,110000,1.0,0,0,0.0,0.0,12100,323063,0.04,0.41,41,Medium
24062,27,120000,1.0,0,0,0.0,0.0,10980,158272,0.07,0.33,33,Low
14990,40,300000,0.03,0,0,-1.0,-1.0,10662,9569,1.11,0.31,31,Low
28443,37,120000,1.0,0,3,2.0,1.0,25164,209954,0.12,0.7,70,High
14702,37,280000,1.0,0,0,0.0,-0.2,91491,811123,0.11,0.22,22,Low
27686,24,30000,1.0,0,2,2.0,0.7,12702,142518,0.09,0.71,71,High
29569,48,50000,0.23,0,1,1.0,-1.3,5275,11575,0.46,0.65,65,Medium
28885,41,320000,0.09,0,0,-2.0,-2.0,29847,29185,1.02,0.23,23,Low
2422,24,20000,1.0,1,6,3.0,2.3,4100,97149,0.04,0.91,91,High
9007,35,150000,1.0,1,6,2.0,2.0,34200,882610,0.04,0.86,86,High
20661,36,10000,1.0,1,0,0.0,-0.7,18400,26075,0.71,0.4,40,Medium
20334,60,350000,0.53,0,0,0.0,0.0,14000,184347,0.08,0.38,38,Medium
26444,50,70000,1.0,0,0,0.0,0.0,9090,90897,0.1,0.39,39,Medium
10956,36,340000,1.0,0,0,0.0,-0.2,87108,500049,0.17,0.2,20,Low
18160,42,380000,0.22,0,0,-2.0,-2.0,86697,82607,1.05,0.12,12,Low
12067,53,70000,1.0,1,6,2.0,2.0,13700,337691,0.04,0.89,89,High
13426,31,180000,0.03,0,0,-1.0,-1.0,5498,5466,1.01,0.3,30,Low
9386,42,10000,1.0,1,1,2.0,0.3,10754,46421,0.23,0.71,71,High
27185,27,80000,0.16,1,2,2.0,-0.2,13538,13082,1.03,0.71,71,High
22388,30,290000,1.0,0,0,0.0,-0.2,103493,999995,0.1,0.19,19,Low
21907,27,330000,0.01,0,0,-1.0,-1.8,3234,2234,1.45,0.36,36,Medium
7002,55,500000,0.14,0,0,-1.0,-1.0,71645,68834,1.04,0.21,21,Low
6745,23,10000,1.0,1,2,2.0,0.7,4800,49053,0.1,0.72,72,High
17779,59,60000,1.0,0,6,3.0,3.0,9601,345181,0.03,0.92,92,High
23308,30,160000,1.0,1,0,0.0,0.0,18000,409483,0.04,0.35,35,Medium
22443,46,400000,0.37,1,1,2.0,-0.2,72812,149556,0.49,0.43,43,Medium
21144,36,60000,1.0,1,0,0.0,0.0,8890,208915,0.04,0.39,39,Medium
27797,26,260000,1.0,0,0,0.0,0.0,62141,1339334,0.05,0.29,29,Low
22408,30,360000,0.73,0,0,0.0,0.0,43000,261861,0.16,0.24,24,Low
9493,38,50000,1.0,1,5,3.0,2.0,3670,293117,0.01,0.91,91,High
29959,31,230000,0.02,0,0,0.0,-0.8,4000,5346,0.75,0.4,40,Medium
7439,43,30000,1.0,0,0,0.0,-0.2,7554,166698,0.05,0.46,46,Medium
18923,28,390000,1.0,0,0,0.0,-1.0,10000,407398,0.02,0.38,38,Medium
26426,31,180000,1.0,0,0,0.0,0.0,12921,377015,0.03,0.35,35,Medium
1047,30,220000,1.0,1,1,2.0,0.3,35168,1045188,0.03,0.63,63,Medium
19774,48,150000,0.11,0,0,0.0,-0.7,7516,16750,0.45,0.41,41,Medium
14584,43,60000,0.09,1,2,2.0,-0.5,14992,5695,2.63,0.78,78,High
13474,37,150000,1.0,0,0,0.0,0.0,25360,349594,0.07,0.34,34,Medium
24177,30,110000,1.0,0,2,2.0,0.5,70415,254020,0.28,0.55,55,Medium
9037,45,30000,1.0,0,0,0.0,0.0,6869,153053,0.04,0.45,45,Medium
21394,58,200000,0.0,1,0,-2.0,-2.0,0,0,0.0,0.31,31,Low
11851,28,80000,0.03,1,0,-1.0,-1.0,2790,2790,1.0,0.3,30,Low
1133,44,270000,1.0,0,6,3.0,3.0,61461,1633110,0.04,0.85,85,High
25283,24,70000,1.0,0,0,0.0,0.0,19200,413451,0.05,0.39,39,Medium
22534,36,180000,0.28,0,0,0.0,0.0,7600,50874,0.15,0.34,34,Medium
15693,26,80000,0.01,0,0,0.0,-0.7,2320,570,4.07,0.45,45,Medium
17400,36,60000,1.0,0,0,0.0,0.0,14815,274535,0.05,0.4,40,Medium
8352,23,280000,1.0,0,0,0.0,0.0,34478,1272329,0.03,0.34,34,Medium
19583,44,80000,1.0,0,0,0.0,-0.3,26783,80466,0.33,0.35,35,Medium
19698,38,120000,1.0,1,6,2.0,2.0,16100,399737,0.04,0.86,86,High
11947,25,30000,1.0,1,3,2.0,1.0,10413,180380,0.06,0.77,77,High
20514,27,20000,1.0,0,1,1.0,0.0,23544,95555,0.25,0.52,52,Medium
3927,24,20000,1.0,0,0,0.0,0.0,5744,110101,0.05,0.41,41,Medium
23502,31,60000,1.0,0,3,2.0,0.8,6700,129027,0.05,0.75,75,High
2657,27,100000,1.0,1,4,2.0,1.3,14340,222126,0.06,0.76,76,High
17183,28,130000,1.0,0,0,0.0,0.0,46568,218431,0.21,0.26,26,Low
26571,56,280000,0.04,0,1,2.0,-0.7,13854,11903,1.16,0.72,72,High
11068,34,120000,0.03,0,0,0.0,-0.7,4726,3673,1.29,0.4,40,Medium
28080,48,150000,0.13,0,0,0.0,-0.3,5523,19548,0.28,0.39,39,Medium
26225,37,150000,0.25,0,0,0.0,0.0,17103,37016,0.46,0.33,33,Low
17283,37,130000,0.0,1,0,-2.0,-2.0,0,0,0.0,0.27,27,Low
4311,49,140000,0.02,0,0,-1.0,-1.5,2547,3036,0.84,0.37,37,Medium
9719,31,50000,1.0,1,2,2.0,0.7,13162,288701,0.05,0.73,73,High
7449,41,180000,1.0,0,0,0.0,-0.5,97162,226836,0.43,0.19,19,Low
7938,25,150000,0.17,0,0,0.0,-1.0,4150,24898,0.17,0.38,38,Medium
28867,35,310000,0.14,0,0,-1.0,-1.0,43055,44736,0.96,0.23,23,Low
6348,31,260000,1.0,0,4,3.0,1.3,26308,523677,0.05,0.83,83,High
20913,34,180000,0.0,0,0,-2.0,-2.0,0,0,0.0,0.26,26,Low
7018,38,20000,1.0,0,0,0.0,0.0,10460,96240,0.11,0.42,42,Medium
1943,45,120000,1.0,0,0,0.0,0.0,6225,137289,0.05,0.38,38,Medium
9819,41,50000,1.0,0,0,0.0,0.0,15012,148451,0.1,0.37,37,Medium
19997,37,60000,1.0,1,0,0.0,0.0,11172,284931,0.04,0.41,41,Medium
17721,36,150000,0.01,0,1,1.0,-0.8,1224,1224,1.0,0.61,61,Medium
15675,31,500000,0.05,0,3,2.0,0.2,15401,27494,0.56,0.75,75,High
10312,45,110000,1.0,0,0,0.0,0.0,16970,441917,0.04,0.4,40,Medium
20130,42,140000,1.0,1,3,2.0,1.0,25957,828567,0.03,0.78,78,High
18057,47,500000,0.15,0,0,0.0,-1.2,58453,76989,0.76,0.3,30,Low
14594,44,80000,1.0,0,1,2.0,0.3,19426,479479,0.04,0.7,70,High
27749,26,130000,1.0,1,1,2.0,0.3,27242,706856,0.04,0.65,65,Medium
4091,24,50000,1.0,0,0,0.0,0.0,4692,102680,0.05,0.35,35,Medium
19736,27,200000,1.0,0,0,0.0,0.0,12960,375323,0.03,0.34,34,Medium
26723,26,180000,1.0,0,0,0.0,-0.8,82658,387401,0.21,0.24,24,Low
19295,36,200000,1.0,0,0,0.0,0.0,48899,1088822,0.04,0.34,34,Medium
9234,30,140000,1.0,0,5,2.0,1.7,22514,759901,0.03,0.83,83,High
14822,25,80000,1.0,0,1,2.0,-0.2,8457,88416,0.1,0.64,64,Medium
23541,45,360000,0.01,0,2,2.0,-0.5,2500,5000,0.5,0.76,76,High
16730,34,50000,1.0,1,6,2.0,1.8,9600,212008,0.05,0.87,87,High
17619,32,80000,0.3,1,2,3.0,0.5,4844,24146,0.2,0.77,77,High
21999,27,190000,1.0,0,0,0.0,0.0,27480,611268,0.04,0.33,33,Low
23643,35,280000,0.22,0,0,-1.0,-1.0,67465,61830,1.09,0.17,17,Low
14974,55,30000,0.48,1,6,3.0,2.7,0,14370,0.0,0.9,90,High
9503,52,80000,1.0,0,0,0.0,0.0,12703,331341,0.04,0.43,43,Medium
2752,39,360000,0.0,0,2,2.0,-0.5,0,1310,0.0,0.75,75,High
25477,24,70000,1.0,0,0,0.0,-1.0,1000,95133,0.01,0.41,41,Medium
10325,39,220000,1.0,0,0,0.0,-0.2,115050,536930,0.21,0.22,22,Low
4073,35,360000,0.17,0,0,-1.0,-1.0,57792,62774,0.92,0.19,19,Low
6883,45,230000,1.0,0,0,0.0,0.0,34600,907843,0.04,0.37,37,Medium
7147,37,290000,1.0,0,0,-2.0,-2.0,121742,1134588,0.11,0.17,17,Low
16126,34,30000,1.0,1,3,2.0,1.0,6200,108584,0.06,0.77,77,High
18094,40,240000,1.0,0,0,0.0,0.0,112680,1424368,0.08,0.22,22,Low
19646,30,360000,0.06,0,0,-2.0,-2.0,23494,22464,1.05,0.23,23,Low
3865,23,30000,1.0,0,0,0.0,0.0,6484,129925,0.05,0.38,38,Medium
29016,43,140000,1.0,1,2,2.0,0.7,14139,460390,0.03,0.72,72,High
6817,27,120000,1.0,0,0,0.0,-0.2,114401,323614,0.35,0.14,14,Low
13742,35,50000,1.0,1,0,0.0,0.0,11920,140535,0.08,0.37,37,Medium
14255,22,50000,1.0,0,2,2.0,0.5,5393,183676,0.03,0.71,71,High
9012,48,300000,1.0,1,1,2.0,0.3,64000,1720030,0.04,0.62,62,Medium
198,22,20000,1.0,0,0,0.0,-0.2,24766,103511,0.24,0.36,36,Medium
7007,33,320000,0.01,0,1,1.0,-1.0,2727,2727,1.0,0.61,61,Medium
8332,40,140000,1.0,0,0,0.0,0.0,21464,451782,0.05,0.37,37,Medium
17483,33,250000,0.02,1,3,3.0,0.2,0,5000,0.0,0.84,84,High
14916,37,470000,1.0,0,0,0.0,0.0,123637,876963,0.14,0.11,11,Low
6464,34,160000,0.48,0,0,-1.0,-1.0,76832,77547,0.99,0.16,16,Low
27677,36,200000,1.0,0,0,0.0,0.0,64001,699189,0.09,0.26,26,Low
4517,39,80000,1.0,0,1,2.0,0.3,25350,417422,0.06,0.67,67,High
18622,26,270000,0.02,0,1,1.0,-1.2,6336,6336,1.0,0.6,60,Medium
19848,30,100000,1.0,0,1,2.0,0.0,52499,154432,0.34,0.54,54,Medium
1497,35,360000,1.0,1,3,2.0,1.0,64256,1781264,0.04,0.69,69,High
13146,39,350000,0.1,0,0,-1.0,-1.0,33781,33492,1.01,0.26,26,Low
7815,27,30000,1.0,0,0,0.0,0.0,19403,58716,0.33,0.32,32,Low
15374,32,280000,0.3,0,0,0.0,0.0,5700,83481,0.07,0.34,34,Medium
22791,36,20000,0.01,0,0,-2.0,-2.0,0,223,0.0,0.27,27,Low
2940,31,390000,0.25,0,0,0.0,0.0,13205,97383,0.14,0.32,32,Low
22036,28,230000,0.3,0,0,-1.0,-1.0,61937,68518,0.9,0.18,18,Low
10373,33,200000,0.03,0,0,-1.0,-1.5,4974,5138,0.97,0.33,33,Low
19931,36,50000,1.0,0,0,0.0,0.0,7700,139612,0.06,0.38,38,Medium
25237,25,80000,0.28,0,0,-1.0,-1.7,22056,22046,1.0,0.29,29,Low
27369,29,30000,1.0,0,2,2.0,0.5,6425,149905,0.04,0.74,74,High
8108,39,30000,1.0,0,0,0.0,0.0,5212,140249,0.04,0.43,43,Medium
15961,30,300000,1.0,0,0,0.0,0.0,55719,1107413,0.05,0.28,28,Low
28299,31,30000,1.0,0,0,0.0,0.0,8400,165054,0.05,0.42,42,Medium
17847,26,200000,1.0,1,6,2.0,2.0,34000,1063564,0.03,0.84,84,High
14304,27,20000,1.0,0,2,3.0,0.8,15900,89977,0.18,0.78,78,High
29682,40,360000,0.07,1,3,3.0,0.7,30258,26545,1.14,0.81,81,High
3952,28,70000,1.0,0,0,0.0,0.0,11500,75585,0.15,0.33,33,Low
23768,53,180000,0.0,0,0,-2.0,-2.0,0,-1256,-0.0,0.3,30,Low
11084,34,360000,0.0,1,1,1.0,-1.5,0,0,0.0,0.63,63,Medium
8947,53,50000,1.0,0,0,0.0,0.0,3585,49929,0.07,0.4,40,Medium
12871,27,160000,0.0,1,0,-1.0,-1.7,0,165,0.0,0.33,33,Low
10338,47,20000,1.0,1,6,3.0,2.2,4850,112661,0.04,0.93,93,High
15113,51,250000,0.01,0,0,-2.0,-2.0,2518,2392,1.05,0.3,30,Low
13901,27,30000,1.0,0,0,0.0,0.0,6370,97035,0.07,0.37,37,Medium
5264,33,180000,0.9,0,0,0.0,-0.2,37437,162014,0.23,0.3,30,Low
28533,44,50000,1.0,1,6,3.0,2.3,5400,91965,0.06,0.9,90,High
10652,54,500000,0.1,0,0,-2.0,-2.0,77790,52362,1.49,0.19,19,Low
25426,26,50000,1.0,0,0,0.0,0.0,8353,188767,0.04,0.38,38,Medium
21512,23,30000,0.13,1,1,2.0,-0.2,2097,3797,0.55,0.64,64,Medium
14663,33,400000,0.3,0,0,-1.0,-1.0,158540,120972,1.31,0.08,8,Low
4431,38,270000,1.0,0,0,0.0,0.0,36019,339618,0.11,0.31,31,Low
13348,38,20000,1.0,0,0,0.0,-0.2,4682,118313,0.04,0.46,46,Medium
27767,25,50000,0.0,1,1,1.0,-1.5,0,0,0.0,0.61,61,Medium
1758,32,360000,0.0,0,0,-2.0,-2.0,0,0,0.0,0.26,26,Low
28362,40,200000,0.15,0,0,-1.0,-1.0,35102,30135,1.16,0.26,26,Low
29142,52,480000,0.77,0,0,-2.0,-2.0,291638,367422,0.79,0.02,2,Low
21662,23,90000,0.1,0,0,-1.0,-1.2,5860,8592,0.68,0.29,29,Low
21807,26,140000,0.15,0,0,0.0,-1.3,0,21688,0.0,0.42,42,Medium
14514,43,460000,1.0,0,0,0.0,-0.8,221624,1637652,0.14,0.1,10,Low
29215,24,20000,1.0,1,4,2.0,1.2,15195,69965,0.22,0.78,78,High
25902,36,240000,1.0,0,0,0.0,0.0,42569,1313754,0.03,0.36,36,Medium
24208,25,150000,1.0,0,0,0.0,0.0,101851,782697,0.13,0.2,20,Low
2471,29,140000,1.0,1,6,2.0,2.0,16897,591690,0.03,0.85,85,High
4750,58,50000,0.3,0,0,-1.0,-1.0,14514,14955,0.97,0.34,34,Medium
6858,33,180000,0.07,1,0,0.0,-0.2,5088,12162,0.42,0.35,35,Medium
4656,46,100000,1.0,0,1,2.0,0.3,16500,275537,0.06,0.66,66,Medium
803,44,50000,0.63,0,0,0.0,-0.7,13356,31530,0.42,0.39,39,Medium
27236,31,100000,1.0,0,4,2.0,1.2,7700,138721,0.06,0.77,77,High
15034,36,180000,1.0,1,6,2.0,2.0,25000,710309,0.04,0.85,85,High
27199,35,30000,1.0,1,2,2.0,0.2,33332,141366,0.24,0.68,68,High
15057,40,20000,1.0,0,3,3.0,1.0,4200,57554,0.07,0.84,84,High
27653,23,50000,1.0,0,3,2.0,1.0,9900,108715,0.09,0.72,72,High
6732,60,80000,1.0,0,0,0.0,-0.7,13756,151155,0.09,0.45,45,Medium
11711,38,140000,0.42,0,2,2.0,0.7,4765,58837,0.08,0.68,68,High
19825,46,20000,1.0,1,3,3.0,1.3,12400,88617,0.14,0.84,84,High
9131,24,50000,1.0,1,1,2.0,0.3,5351,154528,0.03,0.65,65,Medium
22690,34,340000,0.15,0,0,0.0,-0.3,11659,50421,0.23,0.34,34,Medium
6572,22,30000,1.0,0,0,0.0,0.0,6100,153289,0.04,0.4,40,Medium
22928,34,120000,0.14,0,0,0.0,-0.8,19049,16671,1.14,0.38,38,Medium
13981,30,360000,0.01,0,0,-2.0,-2.0,3822,4572,0.84,0.26,26,Low
18913,28,280000,0.08,0,0,0.0,-0.8,19881,21789,0.91,0.35,35,Medium
10329,32,110000,1.0,0,3,2.0,1.0,20906,217344,0.1,0.71,71,High
9387,60,200000,0.14,0,0,0.0,-0.8,15325,27708,0.55,0.42,42,Medium
13137,34,300000,0.1,0,0,0.0,0.0,14000,30214,0.46,0.33,33,Low
16328,49,180000,0.0,0,0,-2.0,-2.0,0,0,0.0,0.29,29,Low
1358,22,20000,1.0,1,3,2.0,1.0,4607,84620,0.05,0.75,75,High
20939,39,280000,0.1,0,0,-2.0,-2.0,21650,27636,0.78,0.23,23,Low
2009,32,360000,0.0,1,1,1.0,-1.5,0,-1226,-0.0,0.63,63,Medium
12091,30,50000,1.0,0,2,2.0,0.5,67871,320787,0.21,0.63,63,Medium
13875,41,180000,1.0,0,0,0.0,0.0,24474,585272,0.04,0.37,37,Medium
21259,50,240000,0.98,0,0,-1.0,-1.2,225473,235522,0.96,0.05,5,Low
18956,23,50000,1.0,1,0,0.0,0.0,11294,261679,0.04,0.39,39,Medium
20586,30,400000,1.0,0,0,0.0,0.0,79000,958324,0.08,0.22,22,Low
10033,27,200000,0.05,1,0,-1.0,-1.0,35437,10303,3.44,0.3,30,Low
16854,36,80000,0.04,1,6,3.0,2.7,0,3300,0.0,0.88,88,High
25602,40,200000,1.0,0,0,0.0,-0.2,60139,938828,0.06,0.31,31,Low
29528,39,180000,0.23,0,0,-1.0,-1.0,46469,41230,1.13,0.23,23,Low
12053,37,80000,1.0,0,0,0.0,0.0,11441,252925,0.05,0.39,39,Medium
2074,50,250000,0.12,0,0,-1.0,-1.5,30833,30833,1.0,0.31,31,Low
2536,46,20000,1.0,0,0,0.0,0.0,5550,79884,0.07,0.43,43,Medium
26476,52,120000,1.0,1,2,2.0,0.5,30000,717785,0.04,0.76,76,High
14401,39,200000,1.0,0,0,0.0,0.0,9535,199521,0.05,0.36,36,Medium
25784,37,150000,0.44,0,0,0.0,-0.7,47088,66542,0.71,0.27,27,Low
27455,49,50000,1.0,0,2,2.0,0.5,9200,216777,0.04,0.76,76,High
27473,50,60000,1.0,0,0,0.0,-0.7,53663,76674,0.7,0.31,31,Low
12697,42,370000,1.0,0,0,0.0,0.0,121814,1011129,0.12,0.22,22,Low
10572,41,100000,0.24,1,0,0.0,-0.8,12813,23780,0.54,0.39,39,Medium
6309,28,70000,1.0,0,0,0.0,0.0,10421,146814,0.07,0.35,35,Medium
28317,27,60000,1.0,0,0,0.0,-0.3,57589,172642,0.33,0.26,26,Low
5251,40,20000,1.0,0,0,0.0,0.0,4244,50316,0.08,0.39,39,Medium
21422,28,290000,1.0,0,0,0.0,0.0,22815,587699,0.04,0.32,32,Low
19842,33,130000,1.0,0,0,0.0,0.0,29228,409636,0.07,0.33,33,Low
12129,46,50000,1.0,1,0,0.0,0.0,6380,206106,0.03,0.43,43,Medium
28582,33,10000,1.0,0,3,2.0,1.0,4000,46841,0.09,0.78,78,High
20737,22,20000,1.0,0,2,2.0,0.5,4900,70251,0.07,0.71,71,High
15102,35,360000,0.04,0,0,-1.0,-1.0,15895,15326,1.04,0.29,29,Low
25448,27,240000,0.49,0,0,0.0,-1.3,0,118175,0.0,0.42,42,Medium
21023,34,200000,0.08,0,0,-1.0,-1.3,14803,15794,0.94,0.3,30,Low
19604,48,360000,0.01,1,0,-2.0,-2.0,0,2500,0.0,0.29,29,Low
25368,24,90000,1.0,0,0,0.0,-1.0,3292,154247,0.02,0.41,41,Medium
5989,28,280000,1.0,0,3,2.0,0.8,109821,1502152,0.07,0.67,67,High
7478,31,170000,0.14,0,0,0.0,-0.8,25670,24323,1.06,0.35,35,Medium
14542,31,50000,1.0,1,4,3.0,1.5,13862,299735,0.05,0.87,87,High
20954,41,140000,1.0,0,1,2.0,0.3,34306,906353,0.04,0.68,68,High
22650,35,320000,0.11,0,0,0.0,-0.7,20380,35753,0.57,0.35,35,Medium
14815,29,230000,0.09,0,0,-1.0,-1.0,16037,20003,0.8,0.28,28,Low
21387,57,40000,1.0,0,1,2.0,0.3,16807,484686,0.03,0.81,81,High
5976,24,50000,1.0,0,0,0.0,-0.7,48009,90226,0.53,0.28,28,Low
14413,31,230000,0.13,0,1,1.0,0.0,13716,30197,0.45,0.5,50,Medium
11693,41,80000,1.0,0,2,2.0,0.5,71993,409546,0.18,0.61,61,Medium
22518,43,10000,1.0,0,0,0.0,-0.8,28745,21241,1.35,0.42,42,Medium
10881,23,50000,1.0,0,0,0.0,-0.2,50155,165247,0.3,0.27,27,Low
28107,44,500000,0.13,0,0,-2.0,-2.0,35757,65747,0.54,0.21,21,Low
23301,33,340000,0.35,0,0,0.0,-0.7,110205,119206,0.92,0.18,18,Low
14152,43,20000,0.89,0,2,2.0,0.0,10491,17730,0.59,0.73,73,High
1500,27,20000,1.0,0,2,2.0,0.2,30331,34305,0.88,0.68,68,High
593,35,50000,1.0,0,0,0.0,0.0,7220,77061,0.09,0.36,36,Medium
10093,43,180000,0.48,0,0,-1.0,-1.0,94936,86066,1.1,0.15,15,Low
15152,23,80000,1.0,1,4,2.0,1.3,14242,401886,0.04,0.79,79,High
2140,43,260000,0.11,1,1,1.0,-0.7,15055,28505,0.53,0.57,57,Medium
27161,40,20000,0.09,1,6,3.0,2.2,0,1800,0.0,0.89,89,High
4828,31,60000,1.0,0,0,0.0,0.0,11100,257858,0.04,0.39,39,Medium
21812,24,20000,1.0,1,6,3.0,2.5,5700,117952,0.05,0.91,91,High
21400,56,110000,1.0,0,0,0.0,0.0,13086,410386,0.03,0.43,43,Medium
6179,37,240000,0.03,0,0,-1.0,-1.5,14216,6765,2.1,0.35,35,Medium
20358,27,130000,0.05,1,0,-1.0,-1.2,9819,6553,1.5,0.3,30,Low
19401,35,80000,0.1,0,2,2.0,0.0,13271,7628,1.74,0.72,72,High
21499,30,140000,0.01,0,0,-2.0,-2.0,1122,1122,1.0,0.27,27,Low
12657,34,70000,1.0,0,0,0.0,-0.8,78772,251541,0.31,0.26,26,Low
12997,43,230000,1.0,1,3,2.0,1.0,44278,1279854,0.03,0.74,74,High
25227,25,80000,1.0,0,4,2.0,1.3,9106,182525,0.05,0.77,77,High
7960,58,50000,1.0,0,6,2.0,1.8,7426,200577,0.04,0.89,89,High
6548,36,150000,1.0,0,0,0.0,-0.3,13055,194288,0.07,0.36,36,Medium
18567,26,320000,1.0,0,0,0.0,0.0,63641,1644932,0.04,0.28,28,Low
5590,39,50000,1.0,0,0,0.0,0.0,5051,165044,0.03,0.4,40,Medium
9074,35,110000,0.05,0,1,2.0,-0.2,3341,5219,0.64,0.67,67,High
18310,28,240000,0.02,0,0,-1.0,-1.3,4595,4744,0.97,0.32,32,Low
5023,26,230000,0.03,0,1,2.0,-0.5,7313,6464,1.13,0.66,66,Medium
27291,35,240000,0.35,0,0,0.0,0.0,7332,83497,0.09,0.34,34,Medium
21204,43,490000,0.03,1,1,2.0,-0.7,11528,12325,0.94,0.69,69,High
27490,53,140000,1.0,0,0,0.0,0.0,22904,606007,0.04,0.41,41,Medium
15532,38,240000,0.08,1,2,2.0,0.3,4743,19823,0.24,0.7,70,High
13795,28,360000,0.03,0,0,0.0,-1.5,91619,9878,5.0,0.39,39,Medium
19903,44,400000,0.03,0,0,-2.0,-2.0,12046,11996,1.0,0.27,27,Low
12442,34,460000,1.0,0,0,0.0,0.0,107329,1883007,0.06,0.21,21,Low
10761,24,90000,0.01,0,0,-1.0,-1.7,0,520,0.0,0.32,32,Low
5160,28,400000,0.2,0,0,0.0,-0.3,25100,78444,0.32,0.3,30,Low
3141,49,20000,1.0,1,4,2.0,1.2,9000,111226,0.08,0.85,85,High
23486,32,90000,0.14,0,0,-1.0,-1.2,5271,12798,0.41,0.31,31,Low
15768,23,10000,1.0,0,1,2.0,0.3,5154,46067,0.11,0.67,67,High
27496,57,170000,0.02,1,0,0.0,-0.8,4980,2572,1.94,0.48,48,Medium
27603,29,400000,0.22,0,0,-2.0,-2.0,108305,87880,1.23,0.1,10,Low
6062,36,150000,1.0,0,6,2.0,2.0,33400,861645,0.04,0.86,86,High
